time,not_read,not_write,address,data,clk
95835356,1,1,0,255,1
95837224,1,1,0,7,1
95838920,1,1,0,0,1
95840620,1,1,0,0,1
95842324,1,1,0,0,1
95844016,1,1,0,0,1
95845720,1,1,0,0,1
95847420,1,1,0,15,1
95849204,1,1,0,255,1
95851072,1,1,0,255,1
95852944,1,1,0,255,1
95854820,1,1,0,255,1
95856688,1,1,0,255,1
95858552,1,1,0,0,1
95860252,1,1,0,0,1
95861960,1,1,0,0,1
95863652,1,1,0,0,1
95865352,1,1,0,0,1
95867060,1,1,0,7,1
95868752,1,1,0,255,1
95870624,1,1,0,255,0
95872492,1,1,0,255,0
95874364,1,1,0,255,0
95876240,1,1,0,255,0
95878104,1,1,0,0,0
95879804,1,1,0,0,0
95881504,1,1,0,0,0
95883204,1,1,0,0,0
95884904,1,1,0,0,0
95886604,1,1,0,0,0
95888304,1,1,0,255,0
95890172,1,1,0,255,0
95892044,1,1,0,255,0
95893912,1,1,0,255,0
95895784,1,1,0,255,0
95897660,1,1,0,0,0
95899352,1,1,0,0,0
95901052,1,1,0,0,0
95902760,1,1,0,0,0
95904452,1,1,0,0,0
95906152,1,1,0,0,0
95907860,1,1,0,255,0
95909724,1,1,0,255,0
95911592,1,1,0,255,0
95913464,1,1,0,255,0
95915332,1,1,0,255,0
95917208,1,1,0,0,0
95918904,1,1,0,0,0
95920604,1,1,0,0,0
95922308,1,1,0,0,0
95924004,1,1,0,0,0
95925704,1,1,0,0,0
95927408,1,1,0,175,0
95929272,1,1,0,255,0
95931144,1,1,0,255,0
95933012,1,1,0,255,0
95934884,1,1,0,255,0
95936752,1,1,0,0,0
95938452,1,1,0,0,0
95940152,1,1,0,0,0
95941860,1,1,0,0,0
95943552,1,1,0,0,0
95945252,1,1,0,0,0
95946960,1,1,0,47,0
95948736,1,1,0,255,0
95950608,1,1,0,255,0
95952476,1,1,0,255,0
95954348,1,1,0,255,0
95956220,1,1,0,3,0
95957920,1,1,0,0,0
95959620,1,1,0,0,0
95961320,1,1,0,0,0
95963020,1,1,0,0,0
95964720,1,1,0,0,0
95966424,1,1,0,3,0
95968120,1,1,0,255,0
95969988,1,1,0,255,0
95971856,1,1,0,255,0
95973728,1,1,0,255,0
95975604,1,1,0,255,0
95977468,1,1,0,0,0
95979168,1,1,0,0,0
95980868,1,1,0,0,0
95982568,1,1,0,0,0
95984268,1,1,0,0,0
95985968,1,1,0,1,0
95987668,1,1,0,255,0
95989536,1,1,0,255,0
95991408,1,1,0,255,0
95993280,1,1,0,255,0
95995148,1,1,0,255,0
95997024,1,1,0,0,0
95998716,1,1,0,0,0
96000420,1,1,0,0,0
96002124,1,1,0,0,0
96003820,1,1,0,0,0
96005516,1,1,0,0,0
96007224,1,1,0,255,0
96009088,1,1,0,255,0
96010956,1,1,0,255,0
96012828,1,1,0,255,0
96014700,1,1,0,255,0
96016576,1,1,0,0,0
96018268,1,1,0,0,0
96019968,1,1,0,0,0
96021676,1,1,0,0,0
96023368,1,1,0,0,0
96025068,1,1,0,0,0
96026776,1,1,0,239,0
96028636,1,1,0,255,0
96030508,1,1,0,255,0
96032380,1,1,0,255,0
96034248,1,1,0,255,0
96036116,1,1,0,0,0
96037816,1,1,0,0,0
96039520,1,1,0,0,0
96041216,1,1,0,0,0
96042916,1,1,0,0,0
96044616,1,1,0,0,0
96046316,1,1,0,47,0
96048104,1,1,0,255,0
96049972,1,1,0,255,0
96051844,1,1,0,255,0
96053712,1,1,0,255,0
96055584,1,1,0,3,0
96057284,1,1,0,0,0
96058984,1,1,0,0,0
96060684,1,1,0,0,0
96062384,1,1,0,0,0
96064084,1,1,0,0,0
96065784,1,1,0,3,0
96067484,1,1,0,255,0
96069352,1,1,0,255,0
96071224,1,1,0,255,0
96073092,1,1,0,255,0
96074968,1,1,0,255,0
96076840,1,1,0,0,0
96078532,1,1,0,0,0
96080232,1,1,0,0,0
96081940,1,1,0,0,0
96083632,1,1,0,0,0
96085332,1,1,0,1,0
96087032,1,1,0,255,0
96088904,1,1,0,255,0
96090772,1,1,0,255,0
96092644,1,1,0,255,0
96094512,1,1,0,255,0
96096388,1,1,0,0,0
96098084,1,1,0,0,0
96099784,1,1,0,0,0
96101488,1,1,0,0,0
96103184,1,1,0,0,0
96104884,1,1,0,0,0
96106588,1,1,0,255,0
96108452,1,1,0,255,0
96110324,1,1,0,255,0
96112192,1,1,0,255,0
96114064,1,1,0,255,0
96115940,1,1,0,0,0
96117632,1,1,0,0,0
96119332,1,1,0,0,0
96121040,1,1,0,0,0
96122732,1,1,0,0,0
96124432,1,1,0,0,0
96126140,1,1,0,239,0
96128008,1,1,0,255,0
96129872,1,1,0,255,0
96131744,1,1,0,255,0
96133612,1,1,0,255,0
96135484,1,1,0,0,0
96137184,1,1,0,0,0
96138884,1,1,0,0,0
96140584,1,1,0,0,0
96142284,1,1,0,0,0
96143984,1,1,0,0,0
96145684,1,1,0,47,0
96147476,1,1,0,255,0
96149336,1,1,0,255,0
96151208,1,1,0,255,0
96153076,1,1,0,255,0
96154948,1,1,0,3,0
96156648,1,1,0,0,0
96158348,1,1,0,0,0
96160048,1,1,0,0,0
96161748,1,1,0,0,0
96163448,1,1,0,0,0
96165148,1,1,0,7,0
96166848,1,1,0,255,0
96168716,1,1,0,255,0
96170588,1,1,0,255,0
96172456,1,1,0,255,0
96174328,1,1,0,255,0
96176204,1,1,0,0,0
96177900,1,1,0,0,0
96179600,1,1,0,0,0
96181304,1,1,0,0,0
96182996,1,1,0,0,0
96184696,1,1,0,1,0
96186404,1,1,0,255,0
96188268,1,1,0,255,0
96190136,1,1,0,255,0
96192008,1,1,0,255,0
96193880,1,1,0,255,0
